FII_TICKER,FII_NAME,FII_CNPJ
ABCP11,FII GRAND PLAZA,01201140000190
AFHI11,AF INVEST CRI FUNDO DE INVESTI-UNICA,36642293000158
AIEC11,AUTONOMY EDIFICIOS CORPORATIVO-UNICA,35765826000126
ALMI11,TORRE ALMIRANTE FII,07122725000100
ALZM11,ALIANZA MULTIESTRATEGIA FII-UNICA,34847063000108
ALZR11,ALIANZA TRUST RENDA IMOBILIARI-UNICA,28737771000185
ANCR11B,ANCAR IC FII-UNICA,07789135000127
APTO11,NAVI RESIDENCIAL FUNDO DE INVE,42432327000182
APTO12,NAVI RESIDENCIAL FUNDO DE INVE,42432327000182
ARRI11,ATRIO REIT RECEBIVEIS FII-UNICA,32006821000121
ASMT11,ASA METROPOLIS FII-UNICA,38293921000162
ATCR11,HAZ FII,14631148000139
ATSA11,HEDGE ATRIUM SHOPPING SANTO AN-UNICA,12809972000100
BARI11,FI IMOBILIARIO BARIGU,29267567000100
BBFI11B,FII BB PROGRESSIVO,07000400000146
BBFO11,FII BB FOF-UNICA,37180091000102
BBIM11,BB RECEBIVEIS IMOBILIARIOS FII,20716161000193
BBPO11,BB PROGRESSIVO II FII,14410722000129
BBRC11,FII BB RENDA CORPORATIVA,12681340000104
BCFF11,FII BTG PACTUAL FUNDO DE FUNDO-UNICA,11026627000138
BCIA11,BRADESCO CARTEIRA IMOBILIARIA -CLASSE UN,20216935000117
BCRI11,BANESTES RECEBIVEIS IMOBILIARI-UNICA,22219335000138
BICE11,BRIO CREDITO ESTRUTURADO - FII-UNICA,39332032000120
BICR11,INTER TITULOS IMOBILIARIOS FII-UNICA,34007109000172
BIME11,BRIO MULTIESTRATEGIA - FI IMOB,41081356000184
BIPD11,BRIO REAL ESTATE IV - FUNDO DE-UNICA,42869892000101
BLCA11,BLUEMACAW CATUAI TRIPLE A FII-UNICA,41076748000155
BLMC11,BLUEMACAW CRED IMOB -UNICA,38294221000192
BLMG11,BLUEMACAW LOGISTICA FUNDO DE I-UNICA,34081637000171
BLMO11,BLUEMACAW OFFICE FUND II FUNDO-UNICA,34895894000147
BLMR11,BLUEMACAW RENDA+ FOF FUNDO DE -UNICA,36368869000130
BLUR11,FII - BLUE RECEBIVEIS IMOBILIA-UNICA,38051307000194
BMII11,FII BRASILIO MACHADO,02027437000144
BMLC11,BM BRASCAN LAJES CORPORATIVAS FII,14376247000111
BNFS11,BANRISUL NOVAS FRONTEIRAS FII,15570431000160
BPFF11,FI IMOBILIARIO BRASIL PLURAL A-UNICA,17324357000128
BPML11,FI IMOBILIA-UNICA,33046142000149
BPRP11,FI IMOBILIARIO - FII,29800650000101
